data_structure,k,test1,test2,test3,test4,test5,test6,test7,test8,test9,test10
Linked_List,11,0.005734,0.005241,0.004697,0.004324,0.004353,0.003739,0.003993,0.003477,0.003307,0.003239
Linked_List,12,0.011685,0.01027,0.009287,0.008818,0.008669,0.00827,0.008265,0.008595,0.008332,0.00816
Linked_List,13,0.033048,0.033606,0.033278,0.033179,0.032887,0.033176,0.033663,0.034277,0.034324,0.034027
Linked_List,14,0.136435,0.144581,0.134309,0.139294,0.134837,0.135051,0.133964,0.146217,0.140768,0.13409
Linked_List,15,0.526527,0.535129,0.533253,0.526313,0.543919,0.524713,0.541221,0.532822,0.525194,0.530144
Linked_List,16,2.11817,2.10423,2.15878,2.10647,2.09513,2.09044,2.08516,2.10629,2.10387,2.10506
Linked_List,17,8.46256,8.39056,8.54642,8.52973,8.35908,8.45922,8.47438,8.512,8.43994,8.51807
Linked_List,18,34.6634,35.025,34.5143,34.6906,34.4211,34.844,34.5899,34.7885,34.8522,34.7229
Linked_List,19,142.715,140.789,141.497,141.326,142.265,141.99,142.371,142.816,143.508,142.797
Linked_List,20,584.796,588.753,586.498,587.845,587.866,587.234,585.444,585.263,586.467,586.656
