data_structure,k,test1,test2,test3,test4,test5,test6,test7,test8,test9,test10
Dynamic_Array,11,0.000049,0.000040,0.000039,0.000038,0.000041,0.000040,0.000037,0.000038,0.000039,0.000038
Dynamic_Array,12,0.000078,0.000091,0.000086,0.000075,0.000074,0.000075,0.000074,0.000074,0.000074,0.000074
Dynamic_Array,13,0.000155,0.000148,0.000148,0.000148,0.000148,0.000148,0.000148,0.000149,0.000149,0.000149
Dynamic_Array,14,0.000324,0.000297,0.000297,0.000304,0.000296,0.000297,0.000331,0.000335,0.000301,0.000297
Dynamic_Array,15,0.000655,0.000652,0.000612,0.000590,0.000520,0.000504,0.000515,0.000506,0.000504,0.000505
Dynamic_Array,16,0.001042,0.001008,0.001011,0.001165,0.001049,0.001010,0.001029,0.001009,0.000922,0.000875
Dynamic_Array,17,0.001804,0.001772,0.001841,0.001756,0.001676,0.001550,0.001647,0.001596,0.001688,0.001559
Dynamic_Array,18,0.003284,0.003318,0.003354,0.003244,0.003288,0.003342,0.003290,0.003382,0.003126,0.003257
Dynamic_Array,19,0.006596,0.006707,0.006685,0.006804,0.006567,0.006574,0.006589,0.006647,0.006549,0.006692
Dynamic_Array,20,0.013468,0.013578,0.013377,0.013226,0.013312,0.013225,0.013205,0.013277,0.013288,0.013173
Dynamic_Array,21,0.026669,0.026921,0.027218,0.026581,0.026641,0.026603,0.026627,0.026633,0.026501,0.026983
Dynamic_Array,22,0.053568,0.057414,0.052982,0.053190,0.053018,0.052832,0.052964,0.052904,0.053187,0.052627
Dynamic_Array,23,0.106652,0.106626,0.107845,0.108403,0.107726,0.106483,0.105441,0.105421,0.105317,0.105169
Dynamic_Array,24,0.217336,0.214129,0.214189,0.212268,0.214095,0.213322,0.213839,0.215080,0.212254,0.213189
Dynamic_Array,25,0.444266,0.440952,0.427862,0.426458,0.428333,0.431087,0.437864,0.431970,0.434695,0.425570
